Label Identifying Reader Id,Write Message timestamp,Read Start Timestamp,Read Finish Timestamp
reader1,2021-04-18 01:39:21.655343,2021-04-18 01:39:21.658294,2021-04-18 01:39:21.659539
reader1,2021-04-18 01:39:21.659303,2021-04-18 01:39:21.659583,2021-04-18 01:39:21.661463
reader1,2021-04-18 01:39:21.659303,2021-04-18 01:39:21.661500,2021-04-18 01:39:21.662656
reader1,2021-04-18 01:39:21.659303,2021-04-18 01:39:21.662743,2021-04-18 01:39:21.663827
reader1,2021-04-18 01:39:21.659303,2021-04-18 01:39:21.663840,2021-04-18 01:39:21.666140
reader1,2021-04-18 01:39:21.664002,2021-04-18 01:39:21.666157,2021-04-18 01:39:21.667303
reader1,2021-04-18 01:39:21.664002,2021-04-18 01:39:21.667323,2021-04-18 01:39:21.680346
reader1,2021-04-18 01:39:21.671381,2021-04-18 01:39:21.680373,2021-04-18 01:39:21.682956
reader1,2021-04-18 01:39:21.671381,2021-04-18 01:39:21.683091,2021-04-18 01:39:21.684369
reader1,2021-04-18 01:39:21.671381,2021-04-18 01:39:21.684464,2021-04-18 01:39:21.685701
reader1,2021-04-18 01:39:21.685176,2021-04-18 01:39:21.685804,2021-04-18 01:39:21.687616
reader1,2021-04-18 01:39:21.685176,2021-04-18 01:39:21.687707,2021-04-18 01:39:21.688866
reader1,2021-04-18 01:39:21.685176,2021-04-18 01:39:21.689045,2021-04-18 01:39:21.690255
reader1,2021-04-18 01:39:21.685176,2021-04-18 01:39:21.690447,2021-04-18 01:39:21.692454
reader1,2021-04-18 01:39:21.690600,2021-04-18 01:39:21.692526,2021-04-18 01:39:21.693744
reader1,2021-04-18 01:39:21.690600,2021-04-18 01:39:21.693815,2021-04-18 01:39:21.694880
reader1,2021-04-18 01:39:21.690600,2021-04-18 01:39:21.695037,2021-04-18 01:39:21.697596
reader1,2021-04-18 01:39:21.695228,2021-04-18 01:39:21.697776,2021-04-18 01:39:21.710362
reader1,2021-04-18 01:39:21.700286,2021-04-18 01:39:21.710389,2021-04-18 01:39:21.712591
reader1,2021-04-18 01:39:21.700286,2021-04-18 01:39:21.712675,2021-04-18 01:39:21.715045
reader1,2021-04-18 01:39:21.714662,2021-04-18 01:39:21.715121,2021-04-18 01:39:21.717449
reader1,2021-04-18 01:39:21.714662,2021-04-18 01:39:21.717474,2021-04-18 01:39:21.719321
