id,data,writer_id,node_number,start_time,end_time,cum_diff,time_diff
206,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
207,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
208,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
209,1,1,1,38:59.4,38:59.4,00:00.0,1.60E-05
210,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
211,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
212,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
213,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
214,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
215,1,1,1,38:59.4,38:59.4,00:00.0,4.10E-05
216,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
217,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
218,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
219,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
220,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
221,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
222,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
223,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
224,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
225,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
226,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
227,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
228,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
229,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
230,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
231,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
232,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
233,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
234,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
235,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
236,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
237,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
238,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
239,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
240,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
241,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
242,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
243,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
244,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
245,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
246,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
247,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
248,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
249,1,1,1,38:59.4,38:59.4,00:00.0,1.60E-05
250,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
251,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
252,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
253,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
254,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
255,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
256,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
257,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
258,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
259,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
260,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
261,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
262,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
263,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
264,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
265,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
266,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
267,1,1,1,38:59.4,38:59.4,00:00.0,1.60E-05
268,1,1,1,38:59.4,38:59.4,00:00.0,2.00E-05
269,1,1,1,38:59.4,38:59.4,00:00.0,2.00E-05
270,1,1,1,38:59.4,38:59.4,00:00.0,1.90E-05
271,1,1,1,38:59.4,38:59.4,00:00.0,1.90E-05
272,1,1,1,38:59.4,38:59.4,00:00.0,3.90E-05
273,1,1,1,38:59.4,38:59.4,00:00.0,3.80E-05
274,1,1,1,38:59.4,38:59.4,00:00.0,2.40E-05
275,1,1,1,38:59.4,38:59.4,00:00.0,2.10E-05
276,1,1,1,38:59.4,38:59.4,00:00.0,2.10E-05
277,1,1,1,38:59.4,38:59.4,00:00.0,2.00E-05
278,1,1,1,38:59.4,38:59.4,00:00.0,3.40E-05
279,1,1,1,38:59.4,38:59.4,00:00.0,2.30E-05
280,1,1,1,38:59.4,38:59.4,00:00.0,1.50E-05
281,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
282,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
283,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
284,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
285,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
286,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
287,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
288,1,1,1,38:59.4,38:59.4,00:00.0,1.90E-05
289,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
290,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
291,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
292,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
293,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
294,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
295,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
296,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
297,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
298,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
299,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
300,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
301,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
302,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
303,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
304,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
305,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
306,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
307,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
308,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
309,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
310,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
311,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
312,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
313,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
314,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
315,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
316,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
317,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
318,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
319,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
320,1,1,1,38:59.4,38:59.4,00:00.0,1.20E-05
321,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
322,1,1,1,38:59.4,38:59.4,00:00.0,5.20E-05
323,1,1,1,38:59.4,38:59.4,00:00.0,1.40E-05
324,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
325,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
326,1,1,1,38:59.4,38:59.4,00:00.0,1.30E-05
